formation info	Avez vous suivi une formation en informatique durant votre formation initial	Avez vous suivie une formation en dehors de votre formation initial	type formation info	Avez vous suivi un MOOC ?	Avez vos suivi une formation en presentiel ?	Avez vous suivi une formation hybride ?	Avez vous suivi une formation avec des amis ?	Avez vous suivi une formation en ligne hors mooc ?	formation magist ere	Y a t il une formation en informatique dans votre département ?	Avez vou suivi une formation en informatique durant votre magistère ?	Class Code	temps rencontre	capacit e r esolution pb	insertion pro	citoyen num erique	Cet enseignement fait partie des mission	Cet enseignement est utile aux apprentis	facilit e mise en oeuvre	objectifs faciles	a l aise avec les connaissances	enseignement code	d ecision enseignement	Avez vous décidé d'enseigner le code a la suite d'une réflexion collective ?	Avez vous décidé d'enseigné a la suite d'une sollicitation institutionnelle ?	Avez vous décide de faire cet enseignement par vous même ?	coll egues enseignent code	mat eriel pour enseigner	utilisation REL	forum	suivi formation en ligne	suivi MOOC	domaines MOOC	Vous avez suivi un mooc dans le domaine du droit, économie, sciences politiques ?	Vous avez suivi un mooc dans d'autres le domaine ?	Vous avez suivi un mooc dans le domaine de l'enseignement ?	Vous avez suivi un mooc dans le domaine de la Sciences et technologies ?	Vous avez suivi un mooc dans le domaine de lettres langues sciences humaines et sociales?	Vous avez suivi un mooc dans le domaine de la santé ?	Vous avez suivi un mooc dans le domaine de l'informatique ?	raison non inscription MOOC	ecriture prog	definition pens ee info	prog affichage	prog tri	d eplacement robot	usages num erique	Avez vous regarder des videos ?	Avez vous ecouter/t el echarger de la musique ?	Avez vous participez a des réseaux sociaux ?	Vous avez déjà acheté en ligne ?	mettre en ligne	Avez vous mit en ligne des contenus professionnels ?	Avez vous mit en ligne des contenus personnels ?	niveau classe	Avez vous une classe CP ?	Avez vous une classe grande section ?	Avez vous une classe CE1 ?	Avez vous une classe CE2 ?	Avez vous une classe CM2 ?	Avez vous une classe de CM1 ?	Avez vous une classe en moyenne section ?	Avez vous une classe en petite section ?	ann ees exp	d epartement	genre	option info	bac	DATE_SAISIE	NUMERO
Non	false	false												2	2	1	4	4	1	1	4	1	 a la suite d une sollicitation institutionnelle	false	false	false	Non	1	2	2	Oui	2									1	1	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;CM2	false	false	false	false	true	true	false	false	31	49	une femme	Non	4	03/05/2017 07:46	22
Non	false	false												2	2	1	4	1	2	2	2	4					Non	3	1	3	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CE2	false	false	true	true	false	false	false	false	23	49	une femme	Non	1	03/05/2017 15:28	23
Non	false	false												2	4	1	1	4	1	1	1	3	 a la suite d une sollicitation institutionnelle	false	false	false	Non	2	2	5	Non											2	Oui				Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CM2	false	false	false	false	true	true	false	false	10	44	une femme	Oui	1	03/05/2017 18:39	24
Oui durant ma formation initiale	true	false	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	2	1	4	4	4	2	1	1	de vous-m eme	false	false	true	Non	3	3	4	Oui	2									1	2	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CM2	false	false	false	false	true	true	false	false	9	44	une femme	Oui	1	03/05/2017 20:34	25
Non	false	false												1	2	3	3	3	1	1	3	1	de vous-m eme	false	false	true	Oui	2	3	3	Oui	1	Lettres langues sciences humaines et sociales;Enseignement	false	false	true	false	true	false	false		3	Oui	Oui	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true										37	44	une femme	Non	4	03/05/2017 21:07	26
Oui en dehors de ma formation initiale	false	true	formation hybride	false	false	true	false	false	Oui	false	true			2	2	3	3	3	1	4	1	2	de vous-m eme; a la suite d une sollicitation institutionnelle	false	false	true	Oui	3	1	3	Oui	1	Enseignement	false	false	true	false	false	false	false		5	Oui	Non	Non	Non	Participation  a des r eseaux sociaux;Regarder des vid eos	true	false	true	false	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CE1;CE2	false	false	true	true	false	false	false	false	11	44	une femme	Non	4	04/05/2017 09:06	27
Non	false	false												1	2	1	3	3	3	1	3	2	de vous-m eme	false	false	true	Non	2	1	5	Non											5	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM2	false	false	false	false	true	false	false	false	2	44	une femme	Non	3	04/05/2017 13:20	28
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC);MOOC;formation en pr esentiel	true	true	false	false	true	Non il n en n existe pas dans mon d epartement	false	false	Non vous n en n avez pas entendu parler		1	4	3	3	3	1	3	3	1	de vous-m eme	false	false	true	Non	3	1	4	Oui	1	Enseignement;Informatique	false	false	true	false	false	false	true		3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true										13	53	un homme	Non	1	04/05/2017 16:51	30
Non	false	false												2	4	3	3	1	2	1	4	2	de vous-m eme	false	false	true	Non	4	1	4	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Grande section;CE1;CP	true	true	true	false	false	false	false	false	12	53	une femme	Non	1	04/05/2017 17:51	31
Non	false	false												3	2	4	4	4	4	4	2	4					Non	4	2	4	Non											1	Non	Oui	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;Moyenne section;CP;CE2;CM2	true	false	false	true	true	true	true	false	10	53	un homme	Non	1	04/05/2017 17:54	32
