formation info	Avez vous suivi une formation en informatique durant votre formation initial	Avez vous suivie une formation en dehors de votre formation initial	type formation info	Avez vous suivi un MOOC ?	Avez vos suivi une formation en presentiel ?	Avez vous suivi une formation hybride ?	Avez vous suivi une formation avec des amis ?	Avez vous suivi une formation en ligne hors mooc ?	formation magist ere	Y a t il une formation en informatique dans votre département ?	Avez vou suivi une formation en informatique durant votre magistère ?	Class Code	temps rencontre	capacit e r esolution pb	insertion pro	citoyen num erique	Cet enseignement fait partie des mission	Cet enseignement est utile aux apprentis	facilit e mise en oeuvre	objectifs faciles	a l aise avec les connaissances	enseignement code	d ecision enseignement	Avez vous décidé d'enseigner le code a la suite d'une réflexion collective ?	Avez vous décidé d'enseigné a la suite d'une sollicitation institutionnelle ?	Avez vous décide de faire cet enseignement par vous même ?	coll egues enseignent code	mat eriel pour enseigner	utilisation REL	forum	suivi formation en ligne	suivi MOOC	domaines MOOC	Vous avez suivi un mooc dans le domaine du droit, économie, sciences politiques ?	Vous avez suivi un mooc dans d'autres le domaine ?	Vous avez suivi un mooc dans le domaine de l'enseignement ?	Vous avez suivi un mooc dans le domaine de la Sciences et technologies ?	Vous avez suivi un mooc dans le domaine de lettres langues sciences humaines et sociales?	Vous avez suivi un mooc dans le domaine de la santé ?	Vous avez suivi un mooc dans le domaine de l'informatique ?	raison non inscription MOOC	ecriture prog	definition pens ee info	prog affichage	prog tri	d eplacement robot	usages num erique	Avez vous regarder des videos ?	Avez vous ecouter/t el echarger de la musique ?	Avez vous participez a des réseaux sociaux ?	Vous avez déjà acheté en ligne ?	mettre en ligne	Avez vous mit en ligne des contenus professionnels ?	Avez vous mit en ligne des contenus personnels ?	niveau classe	Avez vous une classe CP ?	Avez vous une classe grande section ?	Avez vous une classe CE1 ?	Avez vous une classe CE2 ?	Avez vous une classe CM2 ?	Avez vous une classe de CM1 ?	Avez vous une classe en moyenne section ?	Avez vous une classe en petite section ?	ann ees exp	d epartement	genre	option info	bac	DATE_SAISIE	NUMERO
Non	false	false												2	2	1	4	4	4	4	2	3	de vous-m eme	false	false	true	Non	4	3	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	false	Grande section;Moyenne section	false	true	false	false	false	false	true	false	1	44	une femme	Non	1	14/06/2017 17:15	137
Non	false	false												1	4	3	2	2	2	2	2	4					Non	1	2	4	Oui	3										4	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CE2	false	false	false	true	false	true	false	false	33	72	une femme	Non	3	14/06/2017 17:00	138
Oui durant ma formation initiale	true	false	formation en pr esentiel	false	true	false	false	false	Non mais il en existe dans mon d epartement	true	false			3	2	1	1	1	4	4	1	4					Non	3	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	Petite section;Grande section;Moyenne section	false	true	false	false	false	false	true	true	5	44	une femme	Oui	1	14/06/2017 17:49	139
Non	false	false												2	4	1	4	4	2	2	2	4					Non	2	2	5	Non											1	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CM2	false	false	false	false	true	true	false	false	15	44	un homme	Non	3	14/06/2017 18:20	140
Non	false	false												2	2	1	1	1	1	1	1	3					Non	3	2	2	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM2	false	false	false	false	true	false	false	false	24	44	un homme	Non	2	14/06/2017 18:38	141
Non	false	false												2	2	1	3	3	4		1	2	de vous-m eme	false	false	true	Oui	2	2	4	Oui	2										3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CE1;CE2	false	false	true	true	false	false	false	false	7	44	un homme	Non	1	14/06/2017 19:00	142
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC)	true	false	false	false	true	Oui	false	true			4	2	3	1	1	4	1	3	2	 a la suite d une sollicitation institutionnelle	false	false	false	Non	2	2	4	Oui	3										3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM2	false	false	false	false	true	false	false	false	12	44	une femme	Oui	1	14/06/2017 19:33	143
Non	false	false												2	2	1	1	4	2	4	2	4					Non	3	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	Moyenne section	false	false	false	false	false	false	true	false	6	44	une femme	Non	3	14/06/2017 20:06	145
Non	false	false												2	2	1	1	1	4	4	2	2	de vous-m eme	false	false	true	Oui	4	2	1	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CP	true	false	true	false	false	false	false	false	17	44	un homme	Non	1	14/06/2017 20:11	146
Oui en dehors de ma formation initiale	false	true	formation en pr esentiel	false	true	false	false	false	Non mais il en existe dans mon d epartement	true	false			1	2	1	1	1	1	4	4	2	 a la suite d une sollicitation institutionnelle	false	false	false	Non	4	2	3	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Grande section;Moyenne section	false	true	false	false	false	false	true	false	19	44	une femme	Non	3	14/06/2017 20:15	147
Non	false	false												2	2	3	4	1	2	4	2	4					Non	4	2	5	Non											5	Non	Non	Non	Non	Achat en ligne;Regarder des vid eos	true	false	false	true				CM1	false	false	false	false	false	true	false	false	20	44	une femme	Non	4	14/06/2017 20:15	148
Non	false	false												3	2	1	1	4	4	4	2	4					Oui	3	2	5	Non											4	Non	Non	Non	Non	Ecouter/t el echarger de la musique	false	true	false	false				CE1	false	false	true	false	false	false	false	false	30	44	une femme	Non	3	14/06/2017 20:39	149
Non	false	false												2	2	1	4	1	2	2	2	4					Non	2	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE2	false	false	false	true	false	false	false	false	8	44	une femme	Non	1	14/06/2017 21:29	150
Non	false	false												2		1	1	1	4	4	2	4					Non	2	1	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section;Moyenne section	false	false	false	false	false	false	true	true	3	44	une femme	Non	1	14/06/2017 21:32	151
Non	false	false												3	2	1	4	2	4	4	2	4					Non	2	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM2	false	false	false	false	true	false	false	false	23	72	un homme	Non	1	14/06/2017 21:38	152
Non	false	false												3	4	1	2	4	2	2	2	4					Non	3	2	5	Non											4	Non	Non	Non		Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section	false	false	false	false	false	false	false	true	10	44	une femme	Non	3	14/06/2017 21:52	153
Non	false	false												3	2	1	1	4	2	2	2	4					Non	2	4	4	Non											4	Non	Non	Non	Non	Achat en ligne;Regarder des vid eos	true	false	false	true				CM1;CM2	false	false	false	false	true	true	false	false	14	44	une femme	Non	4	14/06/2017 22:05	154
Non	false	false												3	2	1	1	1	4	4	2	4					Non	3	2	4	Non											4	Non	Oui	Non	Non	Achat en ligne	false	false	false	true				Grande section	false	true	false	false	false	false	false	false	23	44	une femme	Non	1	14/06/2017 22:30	155
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC)	true	false	false	false	true	Oui	false	true			2	2	1	1	4	1	4	4	3	 a la suite d une r eflexion collective	true	true	false	Oui	2	2	4	Oui	2									1	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	Grande section;CM1;Moyenne section;CM2	false	true	false	false	true	true	true	false	5	44	une femme	Non	1	14/06/2017 22:35	156
Non	false	false												3	2	4	2	2	2	2	2	4					Non	3	1	5	Oui											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CE1;CM1;Moyenne section;CP;CE2	true	false	true	true	false	true	true	false	8	72	une femme	Non	1	14/06/2017 22:36	157
Non	false	false												3	2	4	4	4	4	4	4	4					Non	4	3	4	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Moyenne section;CE2	false	false	false	true	false	false	true	false	6	44	une femme	Non	3	14/06/2017 18:29	158
Non	false	false												4	4	3	1	1	4	4	4	3	 a la suite d une sollicitation institutionnelle	false	false	false	Non	3	3	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CE2	false	false	false	true	false	true	false	false	3	44	une femme	Oui	3	15/06/2017 08:28	159
Non	false	false												2	2	3	3	1	4	4	2	4					Non	3	2	2	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux	false	true	true	true													35		une femme		4	15/06/2017 09:35	160
Non	false	false												2	2	1	4	1	2	4	2	4					Non	2	2	4	Oui	2									1	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CE1;CE2	false	false	true	true	false	false	false	false	13	72	une femme	Non	3	15/06/2017 09:45	161
Non	false	false												2	2	4	4	1	2	2	2	4					Non		3	4	Oui	2									3	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CM1;CP;CE2;CM2	true	false	true	true	true	true	false	false	10	53	un homme	Non	1	15/06/2017 12:47	163
Non	false	false												2	2	4	4	3	1	1	2	4					Non	2	2	3	Oui	2									3	1	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM1;CM2	false	false	false	false	true	true	false	false	14	44	une femme	Non	1	15/06/2017 12:53	164
Non	false	false												4	2	4	1	1	2	2	4	4					Non	4	2	3	Oui	2									4	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CM2	false	false	false	false	true	true	false	false	22	44	une femme	Non	1	15/06/2017 13:22	165
Non	false	false												2	2	1	4	4	4	4	4	4					Oui	3	2	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true				CE2	false	false	false	true	false	false	false	false	15	85	une femme	Oui	1	15/06/2017 13:49	166
Oui durant ma formation initiale	true	false	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	2	1	3	3	4	4	1	4					Oui	3	2	5	Non											1	Oui	Oui	Oui	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	Petite section;Moyenne section	false	false	false	false	false	false	true	true	2	53	une femme	Non	1	15/06/2017 14:09	167
Oui en dehors de ma formation initiale	false	true	formation avec des amis coll egues	false	false	false	true	false	Non mais il en existe dans mon d epartement	true	false			3	2	3	3	1	1	3	3	1	de vous-m eme	false	false	true		1	2	5	Non											1	Oui	Oui	Oui	Non	Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	false				CM2	false	false	false	false	true	false	false	false	2	44	une femme	Non	1	15/06/2017 14:13	168
Non	false	false												2	2	1	2	2	4	4	2	4					Non	4	2	4	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CE2	false	false	true	true	false	false	false	false	13	44	une femme	Non	1	15/06/2017 14:32	169
Non	false	false												1	2	1	1	1	1	1	3	1	de vous-m eme	false	false	true	Non	2	1	4	Oui	2									1	3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CM2	false	false	false	false	true	true	false	false	26	85	un homme	Oui	1	15/06/2017 15:09	170
Non	false	false												3	4	1	2	4	2	2	2	4					Non	3	3	4	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CM1;CE2;CM2	false	false	true	true	true	true	false	false	3	44	une femme	Non	3	15/06/2017 15:59	171
Non	false	false												1	2	1	4	1	2	4	2	4					Non	3	2	4	Oui	1	Lettres langues sciences humaines et sociales	false	false	false	false	true	false	false		4	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	Grande section;CP;CE2	true	true	false	true	false	false	false	false	1	53	une femme	Non	3	15/06/2017 16:56	172
Non	false	false												3	2	1	1	4	2	2	2	4					Non	4	2	5	Oui	2									1	4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CE2	false	false	true	true	false	false	false	false	14	44	une femme	Oui	1	15/06/2017 17:00	173
Non	false	false												3	2	1	4	4	1	4	4	2	de vous-m eme	false	false	true	Non	2	2	3	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM1;CM2	false	false	false	false	true	true	false	false	3	85	une femme	Non	1	15/06/2017 18:21	174
Non	false	false												2	4	1	1	1	4	4	4	4						3	2	2	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1	false	false	false	false	false	true	false	false	25	85	une femme	Non	2	15/06/2017 18:27	175
Non	false	false												2	2	1	1	4	1	4	4	2	de vous-m eme	false	false	true	Oui	2	1	1	Oui	2										4	Non	Non	Non	Non	Achat en ligne;Participation  a des r eseaux sociaux;Regarder des vid eos	true	false	true	true	Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	false	CM1;CM2	false	false	false	false	true	true	false	false	18	85	une femme	Non	3	15/06/2017 18:24	176
Oui en dehors de ma formation initiale	false	true	formation en ligne (hors MOOC)	true	false	false	false	true	Oui	false	true			2	2	3	3	3		1	4	2	 a la suite d une sollicitation institutionnelle	false	false	false	Oui	1	2	3	Oui	3										5	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1	false	false	true	false	false	false	false	false	34	44	une femme	Non	3	15/06/2017 18:38	177
Non	false	false												2	2	1	4	1	2	4	2	4					Non	4	3	3	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1	false	false	false	false	false	true	false	false	10	44	un homme	Non	3	15/06/2017 20:28	178
Non	false	false												2	2	1	1	1	1	4	1	4					Non	4	1	4	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Grande section;CM1;Moyenne section;CP;CM2	true	true	false	false	true	true	true	false	1	44	une femme	Non	3	15/06/2017 20:38	179
Non	false	false												2	2	4	4	2	4	4	4	4					Oui	3	5	5	Non											1	Oui	Oui			Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section;Moyenne section	false	false	false	false	false	false	true	true	25	44	une femme	Oui	1	15/06/2017 21:15	180
Non	false	false												2	4	3	3	3	4	4	4	1	de vous-m eme	false	false	true	Non	4	1	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1;CE2;CM2	false	false	false	true	true	true	false	false	3	44	une femme	Oui	3	15/06/2017 22:24	181
Non	false	false												2	2	1	1	4	4	4	4	3	 a la suite d une sollicitation institutionnelle	false	false	false	Non	3	2	4	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM2	false	false	false	false	true	false	false	false	11	44	une femme	Oui	1	15/06/2017 22:58	182
Non	false	false												2	2	3	1	1	4	1	4	1	 a la suite d une sollicitation institutionnelle	false	false	false	Oui	3	1	3	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CE1;CM1	false	false	true	false	false	true	false	false	10	44	une femme	Non	4	16/06/2017 09:15	183
Oui en dehors de ma formation initiale;Non	false	true							Non il n en n existe pas dans mon d epartement	false	false			1	2	4	1	3	1	1	3	2	 a la suite d une r eflexion collective	true	true	false	Non	2	2	3	Oui	3										3	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM1;CE2;CM2	false	false	false	true	true	true	false	false	10	85		Oui	1	16/06/2017 10:13	185
Oui en dehors de ma formation initiale	false	true	formation avec des amis coll egues;formation en pr esentiel	false	true	false	true	false	Non il n en n existe pas dans mon d epartement	false	false			1	2	1	1	1	1	1	1	2	 a la suite d une r eflexion collective	true	true	false	Oui	1	2	2	Non											5	Non	Oui	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CM1	false	false	false	false	false	true	false	false	12	44	une femme	Non	3	16/06/2017 10:56	186
Non	false	false												4	2	2	2	2	2	2	2	1					Oui	4	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique	false	true	false	true				CE1;CP	true	false	true	false	false	false	false	false	40	44	un homme	Non	1	16/06/2017 13:07	187
Non	false	false												1	2	3	1	3	4	4	4	4					Non	2	2	5	Oui	3										1	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM1;CM2	false	false	false	false	true	true	false	false	12	85	une femme	Non	3	16/06/2017 13:31	188
Oui en dehors de ma formation initiale	false	true	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	2	1	4	4	2	1	2	2	 a la suite d une r eflexion collective	true	true	false	Oui	3	3	4	Oui	3										4	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CE1;CP;CE2	true	false	true	true	false	false	false	false	10	85	une femme	Non	3	16/06/2017 20:02	189
Non	false	false												2	2	1	1	1	2	4	1	1	de vous-m eme	false	false	true	Oui	4	3	4	Oui	3										4	Oui	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.);Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	true	CM1;CM2	false	false	false	false	true	true	false	false	6	44	une femme	Non	1	16/06/2017 22:02	190
Non	false	false												2	2	1	1	1	4	4	2	4					Non	2	3	5	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CE2;CM2	false	false	false	true	true	true	false	false	15	72	un homme	Non	4	16/06/2017 23:13	191
Non	false	false												3	2	1	1	1	2	2	1	1	de vous-m eme; a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle	true	true	true	Oui	2	3	5	Oui	1	Enseignement;Sciences et technologies	false	false	true	true	false	false	false		2	Oui	Oui	Oui	Oui									CM1;CE2	false	false	false	true	false	true	false	false	27	85	une femme	Oui	Baccalaur eat professionnel	17/06/2017 08:47	192
Non	false	false												1	4	3	3	1	1	1	1	2	 a la suite d une r eflexion collective	true	true	false	Oui	1	3	3	Oui	1	Lettres langues sciences humaines et sociales;Enseignement	false	false	true	false	true	false	false		5	Oui	Oui	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM2	false	false	false	false	true	false	false	false	19	85	un homme	Non	3	17/06/2017 20:20	193
Non	false	false												4	2	1	4	1	2	2	2	4					Non	4	3	5	Non											4	Non	Non	Non	Non									CM1	false	false	false	false	false	true	false	false	22	44	un homme	Non	3	18/06/2017 13:15	194
Oui en dehors de ma formation initiale	false	true	formation avec des amis coll egues	false	false	false	true	false	Non mais il en existe dans mon d epartement	true	false			2	4	3	1	1	4	4	2	1	 a la suite d une sollicitation institutionnelle	false	false	false	Oui	3	5	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Petite section;Moyenne section	false	false	false	false	false	false	true	true	21	44	une femme	Non	4	18/06/2017 15:59	195
Non	false	false												2	2	1	1	1	2	2	2	4					Non	3	2	1	Oui	1	Autre	false	true	false	false	false	false	false		4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section;CE2	false	false	false	true	false	false	false	true	4	44	une femme	Non	3	19/06/2017 08:03	196
Non	false	false												4	2	1	3	4	4	4	4	3					Non	2	2	3	Oui	3										1	Non	Oui			Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CE1;CP	true	false	true	false	false	false	false	false	19	72	une femme	Non	1	19/06/2017 15:43	197
Non	false	false												4	2	1	1	4	4	4	3	3					Non	3	2	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	CE1;CE2	false	false	true	true	false	false	false	false	17	44	une femme	Non	2	19/06/2017 15:45	198
Oui durant ma formation initiale	true	false	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	2	1	1	1	4	4	4	2	 a la suite d une r eflexion collective	true	true	false	Oui	1	2	2	Oui	2										3		Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section;Grande section;Moyenne section	false	true	false	false	false	false	true	true	4	16		Oui	1	20/06/2017 10:22	199
Non	false	false												2	4	1	2	2	2	4	2	4					Non	4	4	4	Oui	2									1	2	Oui	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus professionnels (cours point de vue vid eos etc.)	true	false	CE1	false	false	true	false	false	false	false	false	40	17	un homme	Non	1	20/06/2017 10:53	200
Non	false	false												2	2	1	1	1	4	1	4	2	 a la suite d une sollicitation institutionnelle	false	false	false	Non	3	2	2	Non											5	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Rien de tout cela	false	false	CM1	false	false	false	false	false	true	false	false	32	17	un homme	Non	1	20/06/2017 10:53	201
Non	false	false												3	2	4	4	4	2	2	2	4					Non	4	5		Oui	3										4	Non	Non	Non	Non	Achat en ligne;Participation  a des r eseaux sociaux	false	false	true	true	Rien de tout cela	false	false	Petite section;Grande section;Moyenne section	false	true	false	false	false	false	true	true	20	17	une femme	Non	3	20/06/2017 11:04	202
Non	false	false												1	2	1	3	3	1	4	4	2	de vous-m eme	false	false	true	Oui	2	3	3	Non											1	Non	Non	Non	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Petite section;Moyenne section	false	false	false	false	false	false	true	true	34	16	une femme	Non	1	20/06/2017 11:07	203
Oui en dehors de ma formation initiale	false	true	formation en pr esentiel	false	true	false	false	false	Non il n en n existe pas dans mon d epartement	false	false			2	4	2	1	1	4	4		4					Non	4	2	5	Non											2	Non	Oui	Oui	Oui	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM2	false	false	false	false	true	false	false	false	40	17	un homme	Non	3	20/06/2017 11:15	204
Non	false	false												1	2	1	1	3	1	1	4	2	 a la suite d une sollicitation institutionnelle	false	false	false	Non	2	1	3	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				Grande section	false	true	false	false	false	false	false	false	25	85	une femme	Non	2	20/06/2017 12:01	205
Non	false	false												2	4	4	2	4	1	4	4	4					Non	3	2	3	Oui	3										4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Participation  a des r eseaux sociaux;Regarder des vid eos	true	true	true	true	Mettre en ligne des contenus personnels (avis photos vid eos etc.)	false	true	Petite section;Moyenne section	false	false	false	false	false	false	true	true	6	17	une femme	Non	1	20/06/2017 12:00	206
Non	false	false												1	4	3	3	3	4	4	4	2	de vous-m eme; a la suite d une r eflexion collective; a la suite d une sollicitation institutionnelle	true	true	true	Non	2	3	5	Non											4	Non	Non	Non	Non	Achat en ligne;Ecouter/t el echarger de la musique;Regarder des vid eos	true	true	false	true				CM1;CE2	false	false	false	true	false	true	false	false	8	17	une femme	Non	3	20/06/2017 12:15	207
